,price,price_per_m,postal_code,location,type,area,room
770,370 000,3 700 ,77500, Chelles (Centre-ville - Gare - Abbesses),RETOUR,100,5
771,370 000,4 022 ,77144, Montévrain,Magnifique,92,4
772,370 000,4 022 ,77700, Chessy,Magnifique,92,4
773,410 000,4 556 ,77290, Mitry-Mory (Mitry-Mory 1),Sublime,90,4
774,540 000,5 870 ,94500, Champigny-sur-Marne (Centre-ville - Coteaux),Frais,92,4
775,686 000,7 969 ,92140, Clamart (Gare),Appartement,86,4
776,1 133 500,9 291 ,67000, Strasbourg (Wacken),APPARTEMENT,122,3
777,638 600,9 394 ,92300, Levallois-Perret (Eiffel),Appartement,66,3
778,830 000,5 355 ,78240, Chambourcy,Maison,155,7
779,990 000,5 500 ,06200, Nice (Fabron),Maison,180,8
780,248 000,3 815 ,69100, Villeurbanne (Cusset),Appartement,65,4
781,320 000,10k ,92200, Neuilly-sur-Seine (Parc de Neuilly),Appartement,32,1
782,695 000,4 633 ,33200, Bordeaux (Monséjour - Marly),Maison,150,6
783,850 000,"11,2k ",75018, Paris 18e (Grandes Carrières - Clichy),Appartement,76,3
784,55 000,744 ,58300, Saint-Léger-des-Vignes,Maison,74,3
785,180 000,2 176 ,47450, Colayrac-Saint-Cirq,Maison,83,4
786,189 000,2 261 ,47450, Colayrac-Saint-Cirq,Maison,84,4
787,935 000,"10,7k ",75014, Paris 14e (Montparnasse - Raspail),Appartement,84,4
788,208 000,2 311 ,38150, Agnin,Appartement,90,5
789,870 000,8 241 ,78000, Versailles (Saint-Louis),Appartement,102,4
790,295 000,2 810 ,77950, Rubelles,Maison,105,5
791,108 500,804 ,42460, Coutouvre,Maison,135,7
792,1 090 000,5 924 ,69003, Lyon 3e (Monchat),Maison,184,8
793,279 000,"17,4k ",75007, Paris 7e (Champ de Mars),Appartement,16,1
794,445 000,12k ,75009, Paris 9e (Trudaine - Rochechouart),Appartement,37,2
795,475 000,9 896 ,75018, Paris 18e (Jules Joffrin),Appartement,48,2
796,635 000,8 335 ,75015, Paris 15e (Alleray - Procession),Appartement,75,3
797,750 000,"11,2k ",75009, Paris 9e (Grands Boulevards),Appartement,67,3
798,128 000,2 857 ,78300, Poissy (Beauregard),Appartement,42,2
799,1 512 000,"13,5k ",nice ,Nice (Promenade des Anglais - Rue de France),Appartement,104,3
800,69 000,1 513 ,24660, Coulounieix-Chamiers,Appartement,46,2
801,73 700,2 062 ,24000, Périgueux (Centre-ville - La Gare - Saint-Martin),Appartement,36,2
802,265 000,2 880 ,01290, Grièges,Maison,92,4
803,369 500,5 279 ,93330, Neuilly-sur-Marne (24 Arpents),Magnifique,70,4
804,385 600,4 284 ,93150, Le Blanc-Mesnil (Centre - Tilleuls),RETOUR,90,4
805,437 738,4 864 ,93300, Aubervilliers (Centre-ville - Victor Hugo),RETOUR,90,4
806,293 000,4 470 ,94000, Créteil (Côte d'Or - Sarrazins),Appartement,66,3
807,215 000,3 162 ,01330, Villars-les-Dombes,Appartement,68,3
808,287 000,3 337 ,67500, Haguenau (Metzgerhof),MAISON,86,4
809,290 000,3 867 ,67112, Breuschwickersheim,PETITE,75,3
810,320 800,3 564 ,67117, Handschuheim,DUPLEX,90,4
811,346 000,4 071 ,67500, Haguenau (Schloessel - Château Fiat),GRAND,85,4
812,351 000,3 900 ,67118, Geispolsheim,Maison,90,4
813,724 200,5 571 ,67300, Schiltigheim (Vieux Schilick - Centre-ville - Nouvelle Cité),115m²,130,5
